0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
1526;-62.25;5.75;16;2217;558;47;6;87;63;556;354;927;1741;2189;16;1975;656;7;161;35;79;581;1152;740;3145;2291;4;1225;1053;64;6;92;651;787;558;864;1595;790
1527;-61.75;5.75;24;1263;469;31;9;101;45;501;402;893;1265;1110;12;2939;871;3;80;13;40;298;803;1040;2815;1916;0;935;1098;43;2;133;396;556;449;995;1251;1102
1528;-61.25;5.75;12;754;207;21;6;45;36;207;146;366;769;806;7;1221;445;4;27;8;15;111;405;465;1114;983;3;369;600;23;0;11;94;268;213;472;729;370
1529;-60.75;5.75;10;454;170;16;7;15;24;145;73;793;888;714;14;310;751;6;11;9;11;84;431;174;1144;535;0;108;427;9;1;10;45;225;157;319;894;408
1530;-60.25;5.75;14;468;158;44;11;17;33;122;128;769;1118;483;9;169;111;5;7;5;15;134;575;255;1511;782;1;53;464;11;1;10;98;226;166;636;817;755
1531;-59.75;5.75;19;435;566;105;14;34;89;240;420;716;2576;503;10;66;173;3;14;19;19;95;1007;924;1227;297;3;55;350;41;6;21;499;335;541;1179;1070;725
1532;-59.25;5.75;45;969;983;133;12;66;124;608;447;799;2240;870;5;138;183;7;45;17;22;204;1198;1866;1509;948;2;129;777;77;4;28;466;663;803;1728;2917;1009
1533;-58.75;5.75;29;676;1244;77;5;46;68;695;571;702;1836;918;8;302;133;8;33;15;37;174;1138;2082;2228;1256;1;145;1399;139;2;20;281;1285;796;1556;2629;1154
1534;-58.25;5.75;15;1133;657;75;5;34;34;549;544;1024;2183;611;8;919;212;7;23;21;22;383;909;1625;1999;866;0;172;873;299;2;15;436;1383;860;1190;2941;1695
1535;-57.75;5.75;15;1423;432;67;10;32;17;194;419;1702;3342;516;13;575;408;23;11;11;18;177;487;1952;1671;822;2;369;367;270;2;5;506;1479;866;1555;1920;1062
